13 5648 24856
0 0 0.286903 -0.392896
1 0 0.231553 -0.342797
0 1 0.258274 -0.390969
1 1 0.202924 -0.338943
0 2 0.264 -0.389042
1 2 0.214376 -0.337016
0 2 0.269726 -0.387116
0 3 0.262091 -0.385189
1 3 0.205978 -0.333933
0 4 0.256365 -0.383262
1 4 0.199106 -0.331236
0 5 0.246822 -0.381335
1 5 0.189563 -0.329309
0 6 0.294538 -0.381335
1 6 0.241096 -0.329309
0 7 0.233462 -0.377481
1 7 0.176203 -0.325455
0 8 0.243005 -0.373627
1 8 0.185746 -0.319674
0 9 0.325076 -0.337016
1 9 0.272398 -0.287688
0 10 0.334619 -0.335089
1 10 0.28614 -0.285375
0 11 0.0406902 -0.333162
1 11 0.0181684 -0.287688
0 12 0.338436 -0.306186
1 12 0.28843 -0.25994
0 13 0.0235126 -0.302332
1 13 -0.00893414 -0.256086
0 14 0.0101522 -0.298478
1 14 -0.0203859 -0.25416
0 15 0.214376 -0.25994
1 15 0.164751 -0.215622
0 16 0.286903 -0.238744
1 16 0.238043 -0.192884
0 17 0.283086 -0.232964
1 17 0.229797 -0.190109
0 18 0.27736 -0.225256
1 18 0.21972 -0.181323
0 19 0.281178 -0.219475
1 19 0.215139 -0.172074
0 20 0.279269 -0.209841
1 20 0.22201 -0.165522
0 21 -0.0165687 -0.188645
1 21 -0.0490154 -0.155888
0 22 0.334619 -0.179011
1 22 0.265527 -0.135077
0 23 0.359431 -0.167449
1 23 0.293011 -0.121204
0 24 -0.0413808 -0.165522
1 24 -0.0757362 -0.132765
0 25 0.370883 -0.163595
1 25 0.302173 -0.116579
0 26 -0.0413808 -0.150107
1 26 -0.0757362 -0.116579
0 27 0.399513 -0.142399
1 27 0.334238 -0.0980808
0 28 0.388061 -0.130838
1 28 0.317442 -0.0865194
0 29 0.407147 -0.130838
1 29 0.341109 -0.0842071
0 30 0.391878 -0.126984
1 30 0.318205 -0.0818948
0 31 0.414782 -0.126984
1 31 0.35256 -0.0818948
0 32 -0.0127514 -0.125057
1 32 -0.050924 -0.094227
0 32 -0.00702551 -0.125057
0 33 0.384244 -0.125057
1 33 0.31935 -0.0807387
0 34 0.388061 -0.11735
1 34 0.313624 -0.0711042
0 35 0.435777 -0.111569
1 35 0.377754 -0.0657089
0 36 -0.0165687 -0.109642
1 36 -0.0551229 -0.0795826
0 37 0.382335 -0.109642
1 37 0.309044 -0.0657089
0 38 0.370883 -0.107715
1 38 0.297592 -0.0633966
0 39 0.391878 -0.094227
1 39 0.315915 -0.0495229
0 40 0.435777 -0.0923001
1 40 0.376609 -0.0441276
0 41 0.0063349 -0.0845925
1 41 -0.035655 -0.0576159
0 42 0.0235126 -0.0845925
1 42 -0.0222946 -0.0576159
0 43 0.451046 -0.0845925
1 43 0.389969 -0.0402738
0 42 0.0196953 -0.0826656
0 44 0.431959 -0.0807387
1 44 0.370883 -0.03642
0 45 0.426233 -0.074958
1 45 0.359431 -0.0287124
0 46 0.437685 -0.0672504
1 46 0.375464 -0.0240879
0 47 0.45868 -0.0633966
1 47 0.407147 -0.0171511
0 48 0.0616852 -0.055689
1 48 0.0139694 -0.0267856
0 49 0.368975 0.0483635
1 49 0.295301 0.0869015
0 50 0.412873 0.0522173
1 50 0.35256 0.0938383
0 51 0.399513 0.137001
1 51 0.325992 0.173381
0 52 0.405239 0.138928
1 52 0.334238 0.176155
0 53 0.407147 0.144708
1 53 0.336528 0.181705
0 54 0.388061 0.160124
1 54 0.309044 0.197891
0 55 0.273543 0.165904
1 55 0.181929 0.192881
0 55 0.269726 0.167831
0 56 0.254457 0.171685
1 56 0.163835 0.198353
0 57 0.384244 0.173612
1 57 0.304463 0.20714
0 58 0.256365 0.185173
1 58 0.162461 0.211765
0 59 0.252548 0.1871
1 59 0.159025 0.214077
0 59 0.25064 0.190954
0 59 0.254457 0.190954
0 60 0.437685 0.206369
1 60 0.363249 0.244907
0 61 0.389969 0.216004
1 61 0.309807 0.250688
0 62 0.422416 0.223711
1 62 0.349888 0.262249
0 63 0.426233 0.231419
1 63 0.341109 0.267259
0 64 0.389969 0.235273
1 64 0.306753 0.267722
0 65 0.422416 0.244907
1 65 0.343399 0.281133
0 66 0.40333 0.248761
1 66 0.320495 0.283445
0 67 0.428142 0.252615
1 67 0.354851 0.290382
0 68 0.433868 0.254542
1 68 0.361722 0.290382
0 69 0.187655 0.264176
1 69 0.0941319 0.279591
0 70 0.105584 0.266103
1 70 0.0139694 0.273811
0 71 0.132304 0.266103
1 71 0.0406902 0.275738
0 72 0.143756 0.266103
1 72 0.0502334 0.275738
0 71 0.136122 0.26803
0 73 0.147573 0.273811
1 73 0.052142 0.283445
0 74 0.462497 0.287299
1 74 0.400658 0.327378
0 75 0.147573 0.289226
1 75 0.0540506 0.29886
0 76 0.468223 0.329691
1 76 0.398367 0.368999
0 77 0.340345 0.335471
1 77 0.228881 0.362063
0 78 0.44532 0.368229
