9 5285 24317
0 0 0.312578 -0.324867
1 0 -0.417572 0.00267632
0 1 0.322765 -0.32283
1 1 0.484622 -0.245274
0 2 0.316653 -0.320792
1 2 0.356259 -0.305259
0 3 0.508176 -0.310603
1 3 0.34314 -0.224
0 4 0.513269 -0.309584
1 4 0.364533 -0.221962
0 5 0.315634 -0.308566
1 5 -0.0521304 0.0572058
0 6 0.537719 -0.305509
1 6 0.297093 0.00585516
0 7 0.511232 -0.30449
1 7 0.268976 0.159663
0 8 0.521419 -0.30449
1 8 0.360459 -0.216868
0 9 0.317672 -0.303471
1 9 -0.0513154 0.0572058
0 10 0.418527 -0.296339
1 10 0.264697 -0.211774
0 11 0.317672 -0.29532
1 11 -0.211054 -0.186302
0 12 0.504101 -0.29532
1 12 0.243304 -0.0540539
0 13 0.333971 -0.285132
1 13 0.36697 -0.307775
0 14 0.40732 -0.285132
1 14 0.289514 -0.110295
0 15 0.51225 -0.285132
1 15 0.403938 0.118289
0 16 0.501044 -0.274943
1 16 0.360459 -0.31366
0 17 -0.0745427 -0.271887
1 17 -0.183548 -0.19751
0 18 0.490857 -0.271887
1 18 0.337044 -0.0327702
0 19 0.502063 -0.271887
1 19 -0.0918612 0.0989791
0 20 0.372683 -0.270868
1 20 0.337028 -0.114982
0 19 0.504101 -0.270868
0 21 0.419545 -0.269849
1 21 0.268772 -0.186302
0 22 0.533644 -0.269849
1 22 0.328878 -0.0895103
0 23 0.421583 -0.265773
1 23 0.269791 -0.183246
0 24 -0.0490742 -0.262717
1 24 -0.160117 -0.189359
0 25 0.410377 -0.258641
1 25 0.258585 -0.177132
0 26 0.523457 -0.254566
1 26 0.372956 -0.216576
0 27 0.397133 -0.253547
1 27 0.250435 -0.172038
0 28 -0.10918 -0.252528
1 28 -0.232732 -0.0926892
0 29 0.48067 -0.252528
1 29 0.323784 -0.168982
0 30 -0.0837113 -0.251509
1 30 -0.192716 -0.178151
0 31 0.473538 -0.251509
1 31 0.19746 -0.0640388
0 32 0.36759 -0.248453
1 32 0.227004 -0.168982
0 33 -0.273197 -0.240302
1 33 -0.377719 -0.166536
0 34 -0.334321 -0.238264
1 34 -0.443326 -0.164906
0 35 -0.0959362 -0.235208
1 35 -0.204941 -0.162868
0 36 0.434826 -0.234189
1 36 0.25724 -0.0354699
0 37 -0.0378681 -0.23317
1 37 -0.147892 -0.159812
0 38 0.403246 -0.23317
1 38 0.0548371 0.158073
0 39 0.408339 -0.23317
1 39 0.347215 -0.104793
0 40 -0.280328 -0.232151
1 40 -0.387295 -0.158793
0 41 -0.0959362 -0.232151
1 41 -0.204941 -0.159812
0 42 -0.34349 -0.231132
1 42 -0.450457 -0.157774
0 43 0.426676 -0.229094
1 43 -0.0525773 0.231403
0 44 0.51225 -0.229094
1 44 0.393669 -0.280241
0 45 0.421583 -0.228076
1 45 -0.239656 0.129486
0 46 -0.355714 -0.227057
1 46 -0.461663 -0.153699
0 47 0.410377 -0.227057
1 47 0.0640057 0.158073
0 48 0.48882 -0.213811
1 48 0.310427 0.119345
0 49 -0.347564 -0.212793
1 49 -0.455551 -0.140453
0 50 -0.34349 -0.211774
1 50 -0.451476 -0.139435
0 51 0.361477 -0.210755
1 51 0.318853 0.108312
0 52 0.342121 -0.205661
1 52 0.223948 -0.132303
0 53 0.34314 -0.18834
1 53 0.356056 -0.248267
0 54 0.462332 -0.18834
1 54 0.377777 0.136677
0 55 0.450107 -0.17917
1 55 -0.439917 -0.0200939
0 56 0.449089 -0.175095
1 56 -0.432312 -0.0200939
0 57 0.405283 -0.172038
1 57 -0.252331 0.132021
0 58 0.432789 -0.17
1 58 0.347215 -0.218906
0 59 0.449089 -0.161849
1 59 -0.198992 -0.199792
0 60 0.511232 -0.158793
1 60 0.474353 -0.216224
0 61 -0.0164746 -0.155736
1 61 -0.126498 -0.0864537
0 62 -0.296628 -0.154717
1 62 -0.402169 -0.087065
0 63 0.348234 -0.153699
1 63 0.222521 -0.0797292
0 64 0.332953 -0.15268
1 64 0.207648 -0.0803406
0 65 0.459276 -0.14351
1 65 -0.214307 -0.060658
0 66 0.503082 -0.14351
1 66 0.2504 -0.228593
0 57 -0.167248 -0.142491
0 67 0.353327 -0.142491
1 67 0.232301 -0.0723934
0 68 -0.150948 -0.139435
1 68 0.258883 0.0411747
0 69 0.349252 -0.133321
1 69 0.227004 -0.0630199
0 70 -0.0837113 -0.131284
1 70 -0.19781 -0.0640388
