13 10041 50032
0 0 0.227103 -0.394671
1 0 0.116111 -0.405266
0 1 0.232884 -0.394671
1 1 0.122085 -0.405266
0 2 0.229993 -0.393708
1 2 0.119194 -0.404303
0 3 0.233847 -0.388892
1 3 0.123048 -0.399487
0 4 0.233847 -0.386003
1 4 0.123048 -0.39602
0 5 0.240591 -0.383113
1 5 0.131141 -0.393708
0 6 0.244445 -0.381187
1 6 0.136537 -0.390819
0 7 0.247336 -0.376371
1 7 0.138464 -0.386003
0 8 0.292619 -0.299317
1 8 0.163514 -0.309912
0 9 0.294546 -0.296427
1 9 0.168331 -0.307022
0 10 0.227103 -0.294501
1 10 0.0979978 -0.305096
0 11 0.22903 -0.293538
1 11 0.0999247 -0.303555
0 12 0.234811 -0.293538
1 12 0.106669 -0.30317
0 13 0.236737 -0.293538
1 13 0.108018 -0.304711
0 14 0.300326 -0.293538
1 14 0.171222 -0.304133
0 15 0.221322 -0.292575
1 15 0.0912535 -0.30317
0 11 0.227103 -0.292575
0 16 0.305144 -0.292575
1 16 0.176039 -0.30317
0 17 0.230957 -0.291612
1 17 0.103779 -0.30317
0 18 0.232884 -0.291612
1 18 0.105706 -0.301243
0 12 0.234811 -0.291612
0 19 0.213614 -0.289685
1 19 0.0848946 -0.300087
0 20 0.233847 -0.289685
1 20 0.104742 -0.30028
0 21 0.308998 -0.289685
1 21 0.179893 -0.30028
0 22 0.220358 -0.288722
1 22 0.0931804 -0.298354
0 22 0.226139 -0.288722
0 20 0.235774 -0.288722
0 23 0.237701 -0.287759
1 23 0.109174 -0.297776
0 24 0.214578 -0.286796
1 24 0.0873996 -0.297391
0 25 0.222285 -0.286796
1 25 0.0964562 -0.29662
0 26 0.239628 -0.286796
1 26 0.111486 -0.297391
0 27 0.194345 -0.285832
1 27 0.0633128 -0.297391
0 28 0.201089 -0.285832
1 28 0.0710206 -0.297776
0 29 0.204943 -0.284869
1 29 0.073911 -0.295464
0 30 0.219395 -0.284869
1 30 0.0873996 -0.294501
0 31 0.296473 -0.284869
1 31 0.172994 -0.293384
0 32 0.300326 -0.284869
1 32 0.171222 -0.295464
0 33 0.197235 -0.283906
1 33 0.0671667 -0.294501
0 34 0.213614 -0.283906
1 34 0.0848946 -0.295464
0 35 0.316705 -0.283906
1 35 0.188564 -0.294501
0 36 0.207833 -0.282943
1 36 0.0787284 -0.293538
0 37 0.302253 -0.282943
1 37 0.173148 -0.293538
0 38 0.198199 -0.28198
1 38 0.0681302 -0.292575
0 39 0.227103 -0.28198
1 39 0.0989612 -0.292575
0 40 0.30418 -0.28198
1 40 0.177002 -0.290648
0 41 0.185674 -0.281017
1 41 0.0546416 -0.291612
0 42 0.234811 -0.281017
1 42 0.108596 -0.290648
0 43 0.315742 -0.281017
1 43 0.187793 -0.290841
0 44 0.224212 -0.280053
1 44 0.0951074 -0.289685
0 45 0.230957 -0.280053
1 45 0.103779 -0.290648
0 42 0.236737 -0.280053
0 46 0.290692 -0.280053
1 46 0.161587 -0.289685
0 40 0.306107 -0.280053
0 47 0.190491 -0.27909
1 47 0.059459 -0.290841
0 48 0.194345 -0.278127
1 48 0.0633128 -0.288722
0 49 0.188564 -0.277164
1 49 0.059459 -0.286796
0 50 0.203979 -0.277164
1 50 0.073911 -0.286796
0 51 0.287801 -0.277164
1 51 0.158696 -0.287759
0 49 0.191454 -0.276201
0 52 0.305144 -0.276201
1 52 0.177002 -0.286796
0 53 0.244445 -0.275238
1 53 0.117267 -0.284869
0 54 0.315742 -0.275238
1 54 0.186637 -0.286218
0 55 0.282021 -0.274274
1 55 0.153879 -0.284869
0 56 0.317669 -0.274274
1 56 0.188564 -0.284869
